[2019-07-21 13:11:18] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:18] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:18] [Info] Disconnect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:18] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:19] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:19] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:19] [Info] Disconnect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:19] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:19] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:20] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:20] [Info] Disconnect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:20] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:20] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:20] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:21] [Info] Disconnect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:21] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:21] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:21] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:21] [Info] Disconnect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:21] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:22] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:22] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:22] [Info] Disconnect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:22] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:22] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:23] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:23] [Info] Disconnect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:23] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:23] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:23] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:24] [Info] Disconnect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:24] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:24] [Info] Connect watson.telemetry.microsoft.com:443
[2019-07-21 13:11:24] [Info] Connect watson.telemetry.microsoft.com:443
